수목명,흉고지름,Condition,Value,CO2 Avoided (pounds),CO2 Avoided ($),CO2 Sequestered (pounds),CO2 Sequestered ($),Electricity Saved (kWh),Electricity Saved ($),Fuel Saved (MMBtu),Fuel Saved ($),Tree Biomass (short ton),Rainfall Interception (gallons),Avoided Runoff (gallons),Avoided Runoff ($),O3 Removed (pounds),NO2 Avoided (pounds),NO2 Removed (pounds),SO2 Avoided (pounds),SO2 Removed (pounds),VOC Avoided (pounds),PM2.5 Avoided (pounds),PM2.5 Removed (pounds)
회화나무,38.0,Excellent,SOJA,"3,432.4",$79.83,19.0,$0.44,"2,757.9",$311.34,2.4,$37.83,12.8,"72,785.1",460.4,$4.11,23.9,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,36.0,Excellent,SOJA,"3,432.4",$79.83,17.3,$0.40,"2,757.9",$311.34,2.4,$37.83,11.0,"72,785.1",460.4,$4.11,23.9,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,33.0,Excellent,SOJA,"3,432.4",$79.83,14.9,$0.35,"2,757.9",$311.34,2.4,$37.83,8.7,"72,785.1",460.4,$4.11,23.8,0.5,0.9,13.0,1.8,0.1,0.9,1.1
회화나무,29.0,Excellent,SOJA,"3,432.4",$79.83,11.9,$0.28,"2,757.9",$311.34,2.4,$37.83,6.1,"72,785.1",460.4,$4.11,23.6,0.5,0.9,13.0,1.8,0.1,0.9,1.1
회화나무,28.0,Excellent,SOJA,"3,432.4",$79.83,11.2,$0.26,"2,757.9",$311.34,2.4,$37.83,5.6,"72,517.2",458.7,$4.10,23.5,0.5,0.9,13.0,1.8,0.1,0.9,1.1
회화나무,55.0,Excellent,SOJA,"3,432.4",$79.83,36.1,$0.84,"2,757.9",$311.34,2.4,$37.83,35.1,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,25.0,Excellent,SOJA,"3,432.4",$79.83,9.2,$0.21,"2,757.9",$311.34,2.4,$37.83,4.1,"70,089.3",443.3,$3.96,23.0,0.5,0.8,13.0,1.7,0.1,0.9,1.1
회화나무,34.0,Excellent,SOJA,"3,432.4",$79.83,15.7,$0.36,"2,757.9",$311.34,2.4,$37.83,9.4,"72,785.1",460.4,$4.11,23.8,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,42.0,Excellent,SOJA,"3,432.4",$79.83,22.6,$0.53,"2,757.9",$311.34,2.4,$37.83,16.8,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,40.0,Excellent,SOJA,"3,432.4",$79.83,20.8,$0.48,"2,757.9",$311.34,2.4,$37.83,14.7,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,45.0,Excellent,SOJA,"3,432.4",$79.83,25.5,$0.59,"2,757.9",$311.34,2.4,$37.83,20.3,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,48.0,Excellent,SOJA,"3,432.4",$79.83,28.5,$0.66,"2,757.9",$311.34,2.4,$37.83,24.2,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,35.0,Excellent,SOJA,"3,432.4",$79.83,16.5,$0.38,"2,757.9",$311.34,2.4,$37.83,10.2,"72,785.1",460.4,$4.11,23.9,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,41.0,Excellent,SOJA,"3,432.4",$79.83,21.7,$0.50,"2,757.9",$311.34,2.4,$37.83,15.7,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,44.0,Excellent,SOJA,"3,432.4",$79.83,24.5,$0.57,"2,757.9",$311.34,2.4,$37.83,19.1,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,24.0,Fair,SOJA,"3,170.9",$73.74,7.0,$0.16,"2,518.3",$284.29,2.4,$37.83,3.6,"56,378.0",356.6,$3.19,18.3,0.5,0.7,12.0,1.4,0.1,0.9,0.9
회화나무,12.0,Fair,SOJA,"3,170.4",$73.73,"3,604.8",$83.84,"2,517.8",$284.24,2.4,$37.83,1.4,"38,396.8",242.9,$2.17,12.5,0.5,0.5,12.0,0.9,0.1,0.9,0.6
회화나무,18.0,Fair,SOJA,"3,170.9",$73.74,4.3,$0.10,"2,518.3",$284.29,2.4,$37.83,1.7,"45,794.0",289.7,$2.59,15.0,0.5,0.6,12.0,1.1,0.1,0.9,0.7
회화나무,26.0,Fair,SOJA,"3,170.9",$73.74,8.1,$0.19,"2,518.3",$284.29,2.4,$37.83,4.5,"58,355.2",369.1,$3.30,18.9,0.5,0.7,12.0,1.4,0.1,0.9,0.9
회화나무,17.0,Fair,SOJA,"3,170.9",$73.74,764.9,$17.79,"2,518.3",$284.29,2.4,$37.83,1.6,"44,542.2",281.7,$2.52,14.6,0.5,0.5,12.0,1.1,0.1,0.9,0.7
회화나무,22.0,Fair,SOJA,"3,170.9",$73.74,6.1,$0.14,"2,518.3",$284.29,2.4,$37.83,2.9,"53,578.0",338.9,$3.03,17.4,0.5,0.6,12.0,1.3,0.1,0.9,0.8
회화나무,10.0,Fair,SOJA,"2,946.8",$68.53,"4,211.7",$97.95,"2,346.1",$264.85,2.2,$34.60,1.3,"35,885.9",227.0,$2.03,11.6,0.4,0.4,11.2,0.9,0.1,0.8,0.6
회화나무,16.0,Fair,SOJA,"3,170.9",$73.74,"1,501.9",$34.93,"2,518.3",$284.29,2.4,$37.83,1.6,"43,349.7",274.2,$2.45,14.2,0.5,0.5,12.0,1.1,0.1,0.9,0.7
회화나무,11.0,Fair,SOJA,"3,061.4",$71.20,"3,941.4",$91.67,"2,434.7",$274.86,2.3,$36.20,1.3,"37,139.5",234.9,$2.10,12.0,0.4,0.4,11.6,0.9,0.1,0.8,0.6
회화나무,19.0,Fair,SOJA,"3,170.9",$73.74,4.7,$0.11,"2,518.3",$284.29,2.4,$37.83,1.9,"47,985.1",303.5,$2.71,15.7,0.5,0.6,12.0,1.2,0.1,0.9,0.8
회화나무,13.0,Fair,SOJA,"3,170.9",$73.74,"3,197.0",$74.35,"2,518.3",$284.29,2.4,$37.83,1.4,"39,652.0",250.8,$2.24,12.9,0.5,0.5,12.0,1.0,0.1,0.9,0.6
회화나무,27.0,Fair,SOJA,"3,170.9",$73.74,8.6,$0.20,"2,518.3",$284.29,2.4,$37.83,5.0,"59,020.2",373.3,$3.34,19.1,0.5,0.7,12.0,1.4,0.1,0.9,0.9
회화나무,12.0,Poor,SOJA,"2,879.9",$66.98,"3,078.8",$71.60,"2,251.6",$254.19,2.4,$37.83,1.3,"28,094.3",177.7,$1.59,8.0,0.4,0.3,10.9,0.6,0.1,0.8,0.3
회화나무,51.0,Excellent,SOJA,"3,432.4",$79.83,31.7,$0.74,"2,757.9",$311.34,2.4,$37.83,28.6,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,50.0,Excellent,SOJA,"3,432.4",$79.83,30.6,$0.71,"2,757.9",$311.34,2.4,$37.83,27.1,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,37.0,Excellent,SOJA,"3,432.4",$79.83,18.2,$0.42,"2,757.9",$311.34,2.4,$37.83,11.9,"72,785.1",460.4,$4.11,23.9,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,43.0,Excellent,SOJA,"3,432.4",$79.83,23.6,$0.55,"2,757.9",$311.34,2.4,$37.83,17.9,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,46.0,Excellent,SOJA,"3,432.4",$79.83,26.5,$0.62,"2,757.9",$311.34,2.4,$37.83,21.6,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,28.0,Fair,SOJA,"3,170.9",$73.74,9.2,$0.21,"2,518.3",$284.29,2.4,$37.83,5.6,"59,464.0",376.1,$3.36,19.3,0.5,0.7,12.0,1.5,0.1,0.9,0.9
회화나무,25.0,Fair,SOJA,"3,170.9",$73.74,7.6,$0.18,"2,518.3",$284.29,2.4,$37.83,4.1,"57,472.8",363.5,$3.25,18.6,0.5,0.7,12.0,1.4,0.1,0.9,0.9
회화나무,30.0,Fair,SOJA,"3,170.9",$73.74,10.4,$0.24,"2,518.3",$284.29,2.4,$37.83,6.7,"59,683.8",377.5,$3.37,19.5,0.5,0.7,12.0,1.5,0.1,0.9,0.9
회화나무,20.0,Fair,SOJA,"3,170.9",$73.74,5.1,$0.12,"2,518.3",$284.29,2.4,$37.83,2.2,"50,021.1",316.4,$2.83,16.4,0.5,0.6,12.0,1.2,0.1,0.9,0.8
회화나무,32.0,Fair,SOJA,"3,170.9",$73.74,11.6,$0.27,"2,518.3",$284.29,2.4,$37.83,8.0,"59,683.8",377.5,$3.37,19.6,0.5,0.7,12.0,1.5,0.1,0.9,0.9
회화나무,8.0,Fair,SOJA,"2,740.9",$63.74,"4,570.2",$106.29,"2,183.9",$246.55,2.0,$32.00,1.2,"33,392.9",211.2,$1.89,10.7,0.4,0.4,10.4,0.8,0.1,0.7,0.5
회화나무,31.0,Fair,SOJA,"3,170.9",$73.74,11.0,$0.26,"2,518.3",$284.29,2.4,$37.83,7.3,"59,683.8",377.5,$3.37,19.5,0.5,0.7,12.0,1.5,0.1,0.9,0.9
회화나무,37.0,Fair,SOJA,"3,170.9",$73.74,14.9,$0.35,"2,518.3",$284.29,2.4,$37.83,11.9,"59,683.8",377.5,$3.37,19.8,0.5,0.7,12.0,1.5,0.1,0.9,1.0
회화나무,21.0,Fair,SOJA,"3,170.9",$73.74,5.6,$0.13,"2,518.3",$284.29,2.4,$37.83,2.5,"51,889.2",328.2,$2.93,16.9,0.5,0.6,12.0,1.3,0.1,0.9,0.8
회화나무,35.0,Fair,SOJA,"3,170.9",$73.74,13.5,$0.31,"2,518.3",$284.29,2.4,$37.83,10.2,"59,683.8",377.5,$3.37,19.7,0.5,0.7,12.0,1.5,0.1,0.9,1.0
회화나무,23.0,Fair,SOJA,"3,170.9",$73.74,6.5,$0.15,"2,518.3",$284.29,2.4,$37.83,3.2,"55,077.2",348.4,$3.11,17.9,0.5,0.7,12.0,1.4,0.1,0.9,0.9
회화나무,18.0,Poor,SOJA,"2,880.3",$66.99,3.2,$0.08,"2,252.1",$254.24,2.4,$37.83,1.7,"34,623.9",219.0,$1.96,10.1,0.4,0.4,10.9,0.8,0.1,0.8,0.4
회화나무,14.0,Fair,SOJA,"3,170.9",$73.74,"2,713.6",$63.11,"2,518.3",$284.29,2.4,$37.83,1.5,"40,899.4",258.7,$2.31,13.4,0.5,0.5,12.0,1.0,0.1,0.9,0.6
회화나무,36.0,Fair,SOJA,"3,170.9",$73.74,14.2,$0.33,"2,518.3",$284.29,2.4,$37.83,11.0,"59,683.8",377.5,$3.37,19.8,0.5,0.7,12.0,1.5,0.1,0.9,1.0
회화나무,34.0,Fair,SOJA,"3,170.9",$73.74,12.9,$0.30,"2,518.3",$284.29,2.4,$37.83,9.4,"59,683.8",377.5,$3.37,19.7,0.5,0.7,12.0,1.5,0.1,0.9,1.0
회화나무,10.0,Poor,SOJA,"2,609.4",$60.69,"3,551.3",$82.59,"2,047.8",$231.18,2.1,$33.53,1.2,"25,850.2",163.5,$1.46,7.2,0.4,0.3,9.9,0.6,0.1,0.7,0.3
회화나무,29.0,Fair,SOJA,"3,170.9",$73.74,9.8,$0.23,"2,518.3",$284.29,2.4,$37.83,6.1,"59,683.8",377.5,$3.37,19.4,0.5,0.7,12.0,1.5,0.1,0.9,0.9
회화나무,9.0,Fair,SOJA,"2,828.2",$65.78,"4,420.6",$102.81,"2,253.5",$254.40,2.1,$33.02,1.3,"34,642.0",219.1,$1.96,11.2,0.4,0.4,10.7,0.8,0.1,0.8,0.5
회화나무,41.0,Fair,SOJA,"3,170.9",$73.74,17.8,$0.41,"2,518.3",$284.29,2.4,$37.83,15.7,"59,683.8",377.5,$3.37,19.8,0.5,0.7,12.0,1.5,0.1,0.9,1.0
회화나무,33.0,Fair,SOJA,"3,170.9",$73.74,12.2,$0.28,"2,518.3",$284.29,2.4,$37.83,8.7,"59,683.8",377.5,$3.37,19.6,0.5,0.7,12.0,1.5,0.1,0.9,1.0
회화나무,38.0,Fair,SOJA,"3,170.9",$73.74,15.6,$0.36,"2,518.3",$284.29,2.4,$37.83,12.8,"59,683.8",377.5,$3.37,19.8,0.5,0.7,12.0,1.5,0.1,0.9,1.0
회화나무,7.0,Fair,SOJA,"2,649.7",$61.62,"4,651.0",$108.17,"2,110.6",$238.27,2.0,$30.99,1.2,"32,032.1",202.6,$1.81,10.2,0.4,0.4,10.1,0.8,0.1,0.7,0.5
회화나무,40.0,Fair,SOJA,"3,170.9",$73.74,17.0,$0.40,"2,518.3",$284.29,2.4,$37.83,14.7,"59,683.8",377.5,$3.37,19.8,0.5,0.7,12.0,1.5,0.1,0.9,1.0
회화나무,34.0,Poor,SOJA,"2,880.3",$66.99,9.7,$0.23,"2,252.1",$254.24,2.4,$37.83,9.4,"45,126.7",285.4,$2.55,14.1,0.4,0.5,10.9,1.1,0.1,0.8,0.6
회화나무,22.0,Poor,SOJA,"2,880.3",$66.99,4.6,$0.11,"2,252.1",$254.24,2.4,$37.83,2.9,"40,509.6",256.2,$2.29,12.1,0.4,0.4,10.9,0.9,0.1,0.8,0.5
회화나무,28.0,Poor,SOJA,"2,880.3",$66.99,7.0,$0.16,"2,252.1",$254.24,2.4,$37.83,5.6,"44,960.5",284.4,$2.54,13.7,0.4,0.5,10.9,1.0,0.1,0.8,0.6
회화나무,26.0,Poor,SOJA,"2,880.3",$66.99,6.1,$0.14,"2,252.1",$254.24,2.4,$37.83,4.5,"44,122.0",279.1,$2.49,13.3,0.4,0.5,10.9,1.0,0.1,0.8,0.6
회화나무,24.0,Poor,SOJA,"2,880.3",$66.99,5.3,$0.12,"2,252.1",$254.24,2.4,$37.83,3.6,"42,626.9",269.6,$2.41,12.8,0.4,0.5,10.9,1.0,0.1,0.8,0.6
회화나무,23.0,Poor,SOJA,"2,880.3",$66.99,4.9,$0.12,"2,252.1",$254.24,2.4,$37.83,3.2,"41,643.2",263.4,$2.35,12.5,0.4,0.5,10.9,0.9,0.1,0.8,0.5
회화나무,21.0,Poor,SOJA,"2,880.3",$66.99,4.2,$0.10,"2,252.1",$254.24,2.4,$37.83,2.5,"39,232.7",248.1,$2.22,11.7,0.4,0.4,10.9,0.9,0.1,0.8,0.5
회화나무,30.0,Poor,SOJA,"2,880.3",$66.99,7.8,$0.18,"2,252.1",$254.24,2.4,$37.83,6.7,"45,126.7",285.4,$2.55,13.9,0.4,0.5,10.9,1.1,0.1,0.8,0.6
회화나무,20.0,Poor,SOJA,"2,880.3",$66.99,3.9,$0.09,"2,252.1",$254.24,2.4,$37.83,2.2,"37,820.2",239.2,$2.14,11.2,0.4,0.4,10.9,0.9,0.1,0.8,0.5
회화나무,35.0,Poor,SOJA,"2,880.3",$66.99,10.2,$0.24,"2,252.1",$254.24,2.4,$37.83,10.2,"45,126.7",285.4,$2.55,14.1,0.4,0.5,10.9,1.1,0.1,0.8,0.6
회화나무,29.0,Poor,SOJA,"2,880.3",$66.99,7.4,$0.17,"2,252.1",$254.24,2.4,$37.83,6.1,"45,126.7",285.4,$2.55,13.8,0.4,0.5,10.9,1.0,0.1,0.8,0.6
회화나무,32.0,Poor,SOJA,"2,880.3",$66.99,8.8,$0.20,"2,252.1",$254.24,2.4,$37.83,8.0,"45,126.7",285.4,$2.55,14.0,0.4,0.5,10.9,1.1,0.1,0.8,0.6
회화나무,36.0,Poor,SOJA,"2,880.3",$66.99,10.7,$0.25,"2,252.1",$254.24,2.4,$37.83,11.0,"45,126.7",285.4,$2.55,14.2,0.4,0.5,10.9,1.1,0.1,0.8,0.7
회화나무,33.0,Poor,SOJA,"2,880.3",$66.99,9.2,$0.21,"2,252.1",$254.24,2.4,$37.83,8.7,"45,126.7",285.4,$2.55,14.0,0.4,0.5,10.9,1.1,0.1,0.8,0.6
회화나무,16.0,Poor,SOJA,"2,880.3",$66.99,"1,308.3",$30.43,"2,252.1",$254.24,2.4,$37.83,1.5,"32,493.8",205.5,$1.84,9.4,0.4,0.3,10.9,0.7,0.1,0.8,0.4
회화나무,25.0,Poor,SOJA,"2,880.3",$66.99,5.7,$0.13,"2,252.1",$254.24,2.4,$37.83,4.1,"43,454.7",274.9,$2.46,13.1,0.4,0.5,10.9,1.0,0.1,0.8,0.6
회화나무,58.0,Fair,SOJA,"3,170.9",$73.74,32.4,$0.75,"2,518.3",$284.29,2.4,$37.83,40.6,"59,683.8",377.5,$3.37,19.8,0.5,0.7,12.0,1.5,0.1,0.9,1.0
회화나무,42.0,Poor,SOJA,"2,880.3",$66.99,14.0,$0.33,"2,252.1",$254.24,2.4,$37.83,16.8,"45,126.7",285.4,$2.55,14.2,0.4,0.5,10.9,1.1,0.1,0.8,0.7
회화나무,40.0,Poor,SOJA,"2,880.3",$66.99,12.9,$0.30,"2,252.1",$254.24,2.4,$37.83,14.7,"45,126.7",285.4,$2.55,14.2,0.4,0.5,10.9,1.1,0.1,0.8,0.7
회화나무,38.0,Poor,SOJA,"2,880.3",$66.99,11.8,$0.27,"2,252.1",$254.24,2.4,$37.83,12.8,"45,126.7",285.4,$2.55,14.2,0.4,0.5,10.9,1.1,0.1,0.8,0.7
회화나무,44.0,Poor,SOJA,"2,880.3",$66.99,15.2,$0.35,"2,252.1",$254.24,2.4,$37.83,19.1,"45,126.7",285.4,$2.55,14.2,0.4,0.5,10.9,1.1,0.1,0.8,0.7
회화나무,41.0,Poor,SOJA,"2,880.3",$66.99,13.5,$0.31,"2,252.1",$254.24,2.4,$37.83,15.7,"45,126.7",285.4,$2.55,14.2,0.4,0.5,10.9,1.1,0.1,0.8,0.7
회화나무,27.0,Poor,SOJA,"2,880.3",$66.99,6.5,$0.15,"2,252.1",$254.24,2.4,$37.83,5.0,"44,624.9",282.3,$2.52,13.5,0.4,0.5,10.9,1.0,0.1,0.8,0.6
회화나무,43.0,Poor,SOJA,"2,880.3",$66.99,14.6,$0.34,"2,252.1",$254.24,2.4,$37.83,17.9,"45,126.7",285.4,$2.55,14.2,0.4,0.5,10.9,1.1,0.1,0.8,0.7
회화나무,56.0,Poor,SOJA,"2,880.3",$66.99,23.1,$0.54,"2,252.1",$254.24,2.4,$37.83,36.9,"45,126.7",285.4,$2.55,14.2,0.4,0.5,10.9,1.1,0.1,0.8,0.7
회화나무,39.0,Poor,SOJA,"2,880.3",$66.99,12.3,$0.29,"2,252.1",$254.24,2.4,$37.83,13.7,"45,126.7",285.4,$2.55,14.2,0.4,0.5,10.9,1.1,0.1,0.8,0.7
회화나무,70.0,Poor,SOJA,"2,880.3",$66.99,34.0,$0.79,"2,252.1",$254.24,2.4,$37.83,67.8,"45,126.7",285.4,$2.55,14.2,0.4,0.5,10.9,1.1,0.1,0.8,0.7
회화나무,46.0,Poor,SOJA,"2,880.3",$66.99,16.4,$0.38,"2,252.1",$254.24,2.4,$37.83,21.6,"45,126.7",285.4,$2.55,14.2,0.4,0.5,10.9,1.1,0.1,0.8,0.7
회화나무,37.0,Poor,SOJA,"2,880.3",$66.99,11.3,$0.26,"2,252.1",$254.24,2.4,$37.83,11.9,"45,126.7",285.4,$2.55,14.2,0.4,0.5,10.9,1.1,0.1,0.8,0.7
회화나무,31.0,Poor,SOJA,"2,880.3",$66.99,8.3,$0.19,"2,252.1",$254.24,2.4,$37.83,7.3,"45,126.7",285.4,$2.55,13.9,0.4,0.5,10.9,1.1,0.1,0.8,0.6
회화나무,45.0,Poor,SOJA,"2,880.3",$66.99,15.8,$0.37,"2,252.1",$254.24,2.4,$37.83,20.3,"45,126.7",285.4,$2.55,14.2,0.4,0.5,10.9,1.1,0.1,0.8,0.7
회화나무,14.0,Poor,SOJA,"2,880.3",$66.99,"2,342.7",$54.48,"2,252.1",$254.24,2.4,$37.83,1.4,"30,322.7",191.8,$1.71,8.7,0.4,0.3,10.9,0.7,0.1,0.8,0.4
회화나무,19.0,Poor,SOJA,"2,880.3",$66.99,3.6,$0.08,"2,252.1",$254.24,2.4,$37.83,1.9,"36,280.7",229.5,$2.05,10.7,0.4,0.4,10.9,0.8,0.1,0.8,0.5
회화나무,8.0,Poor,SOJA,"2,352.0",$54.70,"3,793.9",$88.23,"1,849.0",$208.74,1.9,$29.91,1.1,"23,620.5",149.4,$1.34,6.5,0.3,0.2,8.9,0.5,0.1,0.6,0.3
회화나무,9.0,Poor,SOJA,"2,466.7",$57.37,"3,700.0",$86.05,"1,938.4",$218.83,2.0,$31.44,1.1,"24,736.0",156.5,$1.40,6.9,0.4,0.2,9.4,0.5,0.1,0.7,0.3
회화나무,7.0,Poor,SOJA,"2,233.3",$51.94,"3,817.6",$88.79,"1,755.6",$198.20,1.8,$28.41,1.0,"22,405.8",141.7,$1.27,6.1,0.3,0.2,8.5,0.5,0.1,0.6,0.2
회화나무,6.0,Fair,SOJA,"2,521.3",$58.64,"4,665.6",$108.51,"2,008.6",$226.76,1.9,$29.47,1.2,"30,547.4",193.2,$1.73,9.7,0.4,0.4,9.6,0.7,0.1,0.7,0.5
회화나무,6.0,Poor,SOJA,"2,109.8",$49.07,"3,773.6",$87.76,"1,657.7",$187.14,1.7,$26.92,1.0,"21,084.9",133.4,$1.19,5.7,0.3,0.2,8.0,0.4,0.1,0.6,0.2
회화나무,15.0,Poor,SOJA,"2,880.3",$66.99,"1,864.8",$43.37,"2,252.1",$254.24,2.4,$37.83,1.4,"31,417.9",198.7,$1.78,9.1,0.4,0.3,10.9,0.7,0.1,0.8,0.4
회화나무,11.0,Poor,SOJA,"2,747.8",$63.90,"3,345.8",$77.81,"2,152.8",$243.04,2.3,$35.66,1.2,"26,971.5",170.6,$1.52,7.6,0.4,0.3,10.4,0.6,0.1,0.7,0.3
회화나무,17.0,Poor,SOJA,"2,880.3",$66.99,669.0,$15.56,"2,252.1",$254.24,2.4,$37.83,1.6,"33,545.6",212.2,$1.90,9.8,0.4,0.4,10.9,0.7,0.1,0.8,0.4
회화나무,13.0,Poor,SOJA,"2,880.3",$66.99,"2,745.9",$63.86,"2,252.1",$254.24,2.4,$37.83,1.3,"29,213.1",184.8,$1.65,8.3,0.4,0.3,10.9,0.6,0.1,0.8,0.3
회화나무,20.0,Excellent,SOJA,"3,432.4",$79.83,6.3,$0.15,"2,757.9",$311.34,2.4,$37.83,2.2,"61,002.4",385.8,$3.45,20.8,0.5,0.8,13.0,1.6,0.1,0.9,1.0
회화나무,53.0,Excellent,SOJA,"3,432.4",$79.83,33.8,$0.79,"2,757.9",$311.34,2.4,$37.83,31.7,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,56.0,Excellent,SOJA,"3,432.4",$79.83,37.2,$0.87,"2,757.9",$311.34,2.4,$37.83,36.9,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,39.0,Excellent,SOJA,"3,432.4",$79.83,19.9,$0.46,"2,757.9",$311.34,2.4,$37.83,13.7,"72,785.1",460.4,$4.11,23.9,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,63.0,Excellent,SOJA,"3,432.4",$79.83,45.6,$1.06,"2,757.9",$311.34,2.4,$37.83,50.9,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,60.0,Excellent,SOJA,"3,432.4",$79.83,41.9,$0.98,"2,757.9",$311.34,2.4,$37.83,44.5,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,67.0,Excellent,SOJA,"3,432.4",$79.83,50.8,$1.18,"2,757.9",$311.34,2.4,$37.83,60.2,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,54.0,Excellent,SOJA,"3,432.4",$79.83,35.0,$0.81,"2,757.9",$311.34,2.4,$37.83,33.4,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,59.0,Excellent,SOJA,"3,432.4",$79.83,40.7,$0.95,"2,757.9",$311.34,2.4,$37.83,42.5,"72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,221.0,Excellent,SOJA,"3,432.4",$79.83,400.7,$9.32,"2,757.9",$311.34,2.4,$37.83,"1,566.6","72,785.1",460.4,$4.11,24.0,0.5,0.9,13.0,1.8,0.1,0.9,1.2
회화나무,5.0,Poor,SOJA,"1,931.2",$44.91,"3,667.8",$85.30,"1,518.0",$171.37,1.6,$24.58,0.9,"19,669.7",124.4,$1.11,5.3,0.3,0.2,7.3,0.4,0.0,0.5,0.2
